Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,has_name,has_description,desc_len,health_score,age_x_MaturitySize,Age_level,Has_photo,Has_video,photo_video_score,Is_free,Is_mixed_breed,Is_group,health_complete,health_unknown,Is_baby,Is_senior,rescuer_listings,AdoptionSpeed
0,2.0,136,107,1,0,1,3,0,0,1,1,1,0,2,0,3,0,4.0,0,1,29,1,0.004166666666666667,1,1,0,4.0,1,1,1,0,0,1,0,1,0
1,2.0,99,0,2,0,5,0,0,1,1,1,1,0,2,0,2,0,5.0,1,1,35,1,0.004166666666666667,1,1,0,5.0,1,0,1,0,0,1,0,1,4
0,1.0,136,0,0,0,1,0,1,0,2,2,2,0,3,0,2,0,1.0,0,1,182,1,0.004166666666666667,1,1,0,1.0,1,0,1,0,3,1,0,1,2
0,36.0,136,0,0,1,2,0,2,0,2,2,1,0,1,0,12,0,2.0,1,1,17,1,0.225,2,1,0,2.0,1,0,0,0,2,0,0,1,2
0,12.0,136,0,0,4,0,0,1,1,2,2,1,1,1,0,2,0,8.0,1,1,235,0,0.05,1,1,0,8.0,1,0,0,0,2,0,0,1,4
0,3.0,137,107,0,0,0,0,1,0,2,2,1,0,1,0,2,0,2.0,1,1,13,1,0.0125,1,1,0,2.0,1,1,0,0,2,1,0,1,2
1,1.0,135,0,0,0,6,0,1,1,1,1,1,0,1,50,2,0,3.0,1,1,92,1,0.004166666666666667,1,1,0,3.0,0,0,0,0,0,1,0,1,1
1,3.0,100,97,2,6,0,0,1,0,0,0,1,0,2,0,12,0,4.0,1,1,68,3,0.0125,1,1,0,4.0,1,1,1,0,0,1,0,1,4
0,8.0,136,0,1,0,0,0,1,0,0,0,0,0,1,0,5,0,8.0,1,1,87,4,0.03333333333333333,1,1,0,8.0,1,0,0,1,0,0,0,1,2
1,12.0,100,78,0,2,6,0,1,0,1,1,0,0,2,0,12,0,0.0,0,1,15,2,0.05,1,0,0,0.0,1,1,1,0,0,0,0,1,4
0,6.0,136,0,1,0,6,0,1,1,0,0,1,0,1,0,2,0,5.0,1,1,99,3,0.025,1,1,0,5.0,1,0,0,0,0,0,0,1,4
1,12.0,117,78,1,6,0,0,1,0,0,0,0,0,1,0,12,0,4.0,1,1,110,4,0.05,1,1,0,4.0,1,1,0,1,0,0,0,1,2
1,2.0,100,0,1,0,5,5,0,0,1,0,1,0,1,0,1,0,2.0,1,1,104,2,0.004166666666666667,1,1,0,2.0,1,0,0,0,0,1,0,1,1
1,12.0,99,0,1,6,0,0,1,1,2,2,2,0,1,0,0,0,1.0,1,1,1,1,0.05,1,1,0,1.0,1,0,0,0,3,0,0,1,4
0,3.0,136,0,1,1,2,0,1,0,0,0,0,0,1,0,2,0,3.0,1,1,30,4,0.0125,1,1,0,3.0,1,0,0,1,0,1,0,1,4
0,5.0,136,0,1,1,6,0,1,0,0,0,0,0,1,0,2,0,5.0,1,1,244,4,0.020833333333333336,1,1,0,5.0,1,0,0,1,0,0,0,1,3
1,2.0,100,0,1,5,6,0,0,0,1,1,1,0,1,0,12,0,5.0,1,1,7,1,0.004166666666666667,1,1,0,5.0,1,0,0,0,0,1,0,1,1
0,3.0,28,0,1,0,1,0,0,0,1,1,1,0,1,100,2,0,2.0,1,1,55,1,0.00625,1,1,0,2.0,0,0,0,0,0,1,0,1,1
1,36.0,122,0,1,4,5,5,2,1,1,1,0,0,1,0,2,0,8.0,1,1,52,2,0.225,2,1,0,8.0,1,0,0,0,0,0,0,1,1
0,1.0,136,0,0,0,1,1,1,0,1,1,2,0,6,1,12,0,4.0,1,1,5,1,0.004166666666666667,1,1,0,4.0,0,0,1,0,1,1,0,1,3
0,5.0,136,0,1,4,0,0,1,0,0,0,0,0,1,0,12,0,4.0,1,1,12,4,0.020833333333333336,1,1,0,4.0,1,0,0,1,0,0,0,1,4
1,3.0,99,0,1,6,0,0,1,1,1,1,1,0,1,0,2,0,1.0,1,1,60,1,0.0125,1,1,0,1.0,1,0,0,0,0,1,0,1,4
0,1.0,136,0,1,1,6,0,1,0,1,1,1,0,1,50,2,0,1.0,1,1,11,1,0.004166666666666667,1,1,0,1.0,0,0,0,0,0,1,0,1,3
0,3.0,136,0,1,6,0,0,1,0,1,1,1,0,1,0,2,0,1.0,1,1,80,1,0.0125,1,1,0,1.0,1,0,0,0,0,1,0,1,3
0,4.0,136,107,1,1,0,0,1,1,0,0,1,0,1,0,2,0,4.0,1,1,2,3,0.016666666666666666,1,1,0,4.0,1,1,0,0,0,1,0,1,3
1,24.0,100,0,0,5,6,0,1,0,1,0,0,0,1,0,2,0,0.0,1,1,87,3,0.1,2,0,0,0.0,1,0,0,0,0,0,0,1,4
1,24.0,100,0,1,0,1,5,2,1,0,0,0,0,1,0,12,0,3.0,1,1,68,4,0.15000000000000002,2,1,0,3.0,1,0,0,1,0,0,0,1,1
1,1.0,129,0,1,0,6,0,1,1,1,1,1,0,1,0,2,0,1.0,0,1,108,1,0.004166666666666667,1,1,0,1.0,1,0,0,0,0,1,0,1,2
1,1.0,100,0,1,0,6,0,0,0,1,1,1,0,1,0,2,0,3.0,1,1,13,1,0.0020833333333333333,1,1,0,3.0,1,0,0,0,0,1,0,1,1
1,3.0,88,69,2,0,1,1,1,1,1,0,1,0,2,100,2,0,2.0,1,1,24,2,0.0125,1,1,0,2.0,0,1,1,0,0,1,0,1,3
1,1.0,99,0,0,2,3,0,2,1,1,1,1,0,1,0,2,0,3.0,1,1,17,1,0.00625,1,1,0,3.0,1,0,0,0,0,1,0,1,1
1,2.0,100,0,1,3,6,0,0,0,1,1,1,1,1,0,2,0,4.0,1,1,108,0,0.004166666666666667,1,1,0,4.0,1,0,0,0,0,1,0,1,4
0,1.0,136,0,1,0,1,5,1,2,1,1,1,0,1,0,12,0,1.0,1,1,12,1,0.004166666666666667,1,1,0,1.0,1,0,0,0,0,1,0,1,1
1,24.0,100,0,1,0,1,5,0,0,0,0,0,0,1,0,2,0,2.0,1,1,81,4,0.05,2,1,0,2.0,1,0,0,1,0,0,0,1,2
0,2.0,136,107,1,1,0,0,1,0,0,0,1,0,1,0,2,0,3.0,1,1,30,3,0.008333333333333333,1,1,0,3.0,1,1,0,0,0,1,0,1,2
1,1.0,100,0,1,0,1,0,1,0,1,1,1,0,1,0,12,0,1.0,0,1,33,1,0.004166666666666667,1,1,0,1.0,1,0,0,0,0,1,0,1,1
1,16.0,106,0,0,1,5,5,1,1,0,0,0,0,3,0,2,0,4.0,1,1,56,4,0.06666666666666667,2,1,0,4.0,1,0,1,1,0,0,0,1,4
1,2.0,79,0,0,5,6,0,1,2,0,0,1,0,1,350,2,0,10.0,1,1,235,3,0.008333333333333333,1,1,0,10.0,0,0,0,0,0,1,0,1,3
1,3.0,99,76,2,0,6,0,1,1,1,0,1,0,2,50,2,0,3.0,0,1,20,2,0.0125,1,1,0,3.0,0,1,1,0,0,1,0,1,3
0,4.0,16,107,1,1,6,0,0,0,0,0,1,0,1,300,2,0,5.0,1,1,60,3,0.008333333333333333,1,1,0,5.0,0,1,0,0,0,1,0,1,1
1,6.0,99,0,1,1,5,5,1,2,2,2,2,0,1,0,12,0,6.0,1,1,36,1,0.025,1,1,0,6.0,1,0,0,0,3,0,0,1,0
0,1.0,136,0,0,0,1,0,1,0,0,0,1,0,1,0,2,0,6.0,1,1,33,3,0.004166666666666667,1,1,0,6.0,1,0,0,0,0,1,0,1,3
0,7.0,136,0,0,0,1,0,2,2,0,0,1,0,1,0,7,0,2.0,1,1,178,3,0.043750000000000004,1,1,0,2.0,1,0,0,0,0,0,0,1,3
1,4.0,100,0,0,3,0,0,1,0,1,1,1,0,1,0,12,0,3.0,1,1,32,1,0.016666666666666666,1,1,0,3.0,1,0,0,0,0,0,0,1,1
0,2.0,65,107,1,0,1,0,1,2,1,1,1,0,2,0,4,0,1.0,0,1,54,1,0.008333333333333333,1,1,0,1.0,1,1,1,0,0,1,0,1,2
0,18.0,51,39,1,0,1,5,1,0,0,1,2,0,1,200,2,0,3.0,1,1,7,2,0.07500000000000001,1,1,0,3.0,0,1,0,0,1,0,0,1,1
1,6.0,99,0,1,2,3,3,1,1,1,1,2,0,2,50,12,0,0.0,1,1,126,1,0.025,1,0,0,0.0,0,0,1,0,1,0,0,1,4
0,5.0,136,0,0,0,0,0,1,0,0,0,1,0,1,0,2,1,5.0,1,1,103,3,0.020833333333333336,1,1,1,7.0,1,0,0,0,0,0,0,1,4
1,3.0,122,0,0,0,6,0,0,0,1,1,1,0,1,0,12,0,1.0,1,1,13,1,0.00625,1,1,0,1.0,1,0,0,0,0,1,0,1,2
0,2.0,136,0,1,4,0,0,1,0,1,0,1,0,1,0,3,0,1.0,1,1,41,2,0.008333333333333333,1,1,0,1.0,1,0,0,0,0,1,0,1,4
0,2.0,144,107,2,0,1,2,1,0,1,1,1,0,6,0,3,0,2.0,0,1,13,1,0.008333333333333333,1,1,0,2.0,1,1,1,0,0,1,0,1,4
0,0.0,136,0,2,0,5,5,1,0,1,1,1,0,5,0,2,0,5.0,1,1,21,1,0.0,1,1,0,5.0,1,0,1,0,0,1,0,1,2
1,3.0,100,0,0,3,0,0,0,0,1,0,1,0,1,0,12,0,1.0,1,1,260,2,0.00625,1,1,0,1.0,1,0,0,0,0,1,0,1,1
1,2.0,100,0,0,0,6,0,0,0,1,0,1,0,1,0,2,0,1.0,1,1,48,2,0.004166666666666667,1,1,0,1.0,1,0,0,0,0,1,0,1,1
0,2.0,136,0,0,1,0,0,1,0,0,0,1,0,1,0,4,1,9.0,1,1,104,3,0.008333333333333333,1,1,1,11.0,1,0,0,0,0,1,0,1,3
0,19.0,151,0,0,2,0,0,1,1,0,0,1,0,1,350,2,0,3.0,1,1,73,3,0.07916666666666666,2,1,0,3.0,0,0,0,0,0,0,0,1,1
0,24.0,136,0,1,0,6,0,1,0,2,2,1,0,1,0,12,0,2.0,1,1,59,1,0.1,2,1,0,2.0,1,0,0,0,2,0,0,1,4
0,3.0,136,0,1,2,0,0,1,0,2,2,2,0,1,0,3,0,3.0,1,1,47,1,0.0125,1,1,0,3.0,1,0,0,0,3,1,0,1,4
0,5.0,136,0,0,1,3,3,1,1,0,0,1,0,1,0,2,0,1.0,1,1,13,3,0.020833333333333336,1,1,0,1.0,1,0,0,0,0,0,0,1,4
1,4.0,100,77,1,2,6,0,1,0,0,0,1,0,1,120,2,0,7.0,1,1,49,3,0.016666666666666666,1,1,0,7.0,0,1,0,0,0,0,0,1,2
0,60.0,136,0,1,6,0,0,0,2,0,0,2,0,1,0,12,0,5.0,1,1,55,3,0.125,2,1,0,5.0,1,0,0,0,1,0,0,1,1
0,1.0,44,107,0,0,1,0,1,1,1,1,1,0,1,0,3,0,5.0,1,1,4,1,0.004166666666666667,1,1,0,5.0,1,1,0,0,0,1,0,1,1
0,2.0,136,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,4.0,1,1,42,2,0.008333333333333333,1,1,0,4.0,1,0,0,0,0,1,0,1,2
1,2.0,100,0,1,0,3,5,1,0,1,0,1,0,1,0,12,0,15.0,1,1,125,2,0.008333333333333333,1,1,0,15.0,1,0,0,0,0,1,0,1,2
0,48.0,28,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,2.0,1,1,66,4,0.1,2,1,0,2.0,1,0,0,1,0,0,0,1,2
0,1.0,136,0,1,1,6,0,1,1,0,0,1,0,1,0,2,0,4.0,1,1,41,3,0.004166666666666667,1,1,0,4.0,1,0,0,0,0,1,0,1,2
1,3.0,100,0,0,4,0,0,1,0,1,0,1,0,1,0,12,1,12.0,1,1,40,2,0.0125,1,1,1,14.0,1,0,0,0,0,1,0,1,2
1,3.0,99,97,2,6,0,0,0,1,0,0,0,0,2,0,2,0,4.0,1,1,24,4,0.00625,1,1,0,4.0,1,1,1,1,0,1,0,1,4
0,6.0,136,0,1,1,0,0,1,0,2,2,2,0,1,0,2,0,3.0,1,1,91,1,0.025,1,1,0,3.0,1,0,0,0,3,0,0,1,4
0,2.0,136,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,4.0,1,1,28,2,0.008333333333333333,1,1,0,4.0,1,0,0,0,0,1,0,1,2
0,1.0,136,107,1,0,1,0,1,1,0,0,1,0,1,150,2,1,13.0,1,1,71,3,0.004166666666666667,1,1,1,15.0,0,1,0,0,0,1,0,1,3
0,3.0,136,0,0,0,6,0,1,0,1,1,1,0,1,10,1,0,1.0,1,1,11,1,0.0125,1,1,0,1.0,0,0,0,0,0,1,0,1,2
1,3.0,125,0,2,0,1,2,1,1,1,1,1,0,4,0,7,0,1.0,1,1,7,1,0.0125,1,1,0,1.0,1,0,1,0,0,1,0,1,4
0,2.0,136,0,1,0,1,5,1,1,1,0,1,0,1,0,3,0,1.0,1,1,181,2,0.008333333333333333,1,1,0,1.0,1,0,0,0,0,1,0,1,2
0,2.0,136,0,0,4,0,0,1,1,2,2,1,0,1,0,2,0,5.0,1,1,12,1,0.008333333333333333,1,1,0,5.0,1,0,0,0,2,1,0,1,2
1,2.0,100,0,1,0,1,0,1,0,1,1,1,0,1,0,2,0,11.0,1,1,160,1,0.008333333333333333,1,1,0,11.0,1,0,0,0,0,1,0,1,3
0,2.0,136,107,0,0,1,1,0,1,0,0,1,0,1,0,2,0,5.0,1,1,75,3,0.004166666666666667,1,1,0,5.0,1,1,0,0,0,1,0,1,4
0,2.0,136,0,1,1,6,0,1,0,2,2,1,0,1,0,2,0,1.0,1,1,15,1,0.008333333333333333,1,1,0,1.0,1,0,0,0,2,1,0,1,2
1,14.0,99,0,1,1,0,0,1,2,1,0,2,0,1,0,12,0,1.0,1,1,41,2,0.05833333333333334,2,1,0,1.0,1,0,0,0,1,0,0,1,4
0,3.0,136,0,1,0,3,0,2,0,2,0,2,0,2,0,2,0,1.0,1,1,21,2,0.018750000000000003,1,1,0,1.0,1,0,1,0,2,1,0,1,2
1,3.0,100,0,0,0,1,5,0,1,1,1,1,0,1,0,2,0,4.0,1,1,32,1,0.00625,1,1,0,4.0,1,0,0,0,0,1,0,1,2
1,1.0,100,0,1,0,3,5,1,0,1,0,1,0,1,0,12,0,3.0,1,1,52,2,0.004166666666666667,1,1,0,3.0,1,0,0,0,0,1,0,1,1
0,2.0,136,107,1,1,3,5,1,0,0,1,1,0,1,0,12,0,1.0,1,1,52,2,0.008333333333333333,1,1,0,1.0,1,1,0,0,0,1,0,1,1
0,36.0,38,0,0,4,6,0,0,1,0,0,0,0,1,200,2,0,4.0,1,1,198,4,0.07500000000000001,2,1,0,4.0,0,0,0,1,0,0,0,1,3
1,2.0,100,0,0,0,1,4,0,0,1,0,1,0,1,0,2,0,7.0,1,1,62,2,0.004166666666666667,1,1,0,7.0,1,0,0,0,0,1,0,1,1
0,2.0,136,0,1,0,1,0,1,0,0,0,1,0,1,0,12,0,2.0,1,1,28,3,0.008333333333333333,1,1,0,2.0,1,0,0,0,0,1,0,1,3
1,24.0,98,0,1,1,0,0,1,2,0,0,0,0,1,150,7,0,1.0,1,1,36,4,0.1,2,1,0,1.0,0,0,0,1,0,0,0,1,1
1,6.0,100,0,1,1,5,5,1,0,1,1,1,0,1,0,2,0,1.0,0,1,12,1,0.025,1,1,0,1.0,1,0,0,0,0,0,0,1,3
0,2.0,136,0,1,6,0,0,0,0,1,1,1,0,1,0,2,0,1.0,1,1,43,1,0.004166666666666667,1,1,0,1.0,1,0,0,0,0,1,0,1,3
1,2.0,98,76,2,0,6,0,0,2,1,1,1,0,3,0,7,0,1.0,1,1,84,1,0.004166666666666667,1,1,0,1.0,1,1,1,0,0,1,0,1,3
0,2.0,21,0,1,0,0,0,2,0,2,2,2,0,1,0,2,0,5.0,1,1,22,1,0.0125,1,1,0,5.0,1,0,0,0,3,1,0,1,2
0,36.0,158,0,1,0,1,0,2,1,2,2,2,1,1,0,12,0,4.0,0,1,59,0,0.225,2,1,0,4.0,1,0,0,0,3,0,0,1,3
0,2.0,136,0,2,0,1,5,1,0,1,1,1,0,6,0,12,0,1.0,1,1,50,1,0.008333333333333333,1,1,0,1.0,1,0,1,0,0,1,0,1,4
1,2.0,100,0,2,0,1,5,1,0,0,0,1,0,4,0,12,0,4.0,1,1,81,3,0.008333333333333333,1,1,0,4.0,1,0,1,0,0,1,0,1,1
1,1.0,132,0,1,0,5,5,1,0,1,1,1,0,1,0,2,0,5.0,1,1,51,1,0.004166666666666667,1,1,0,5.0,1,0,0,0,0,1,0,1,3
0,8.0,136,107,1,5,0,0,1,0,0,0,0,0,1,0,2,0,4.0,1,1,4,4,0.03333333333333333,1,1,0,4.0,1,1,0,1,0,0,0,1,3
1,112.0,100,0,0,0,6,0,0,0,1,1,1,0,1,0,12,0,5.0,1,1,50,1,0.23333333333333336,3,1,0,5.0,1,0,0,0,0,0,1,1,0
1,20.0,132,0,1,0,1,5,0,0,0,0,0,0,1,0,2,0,1.0,1,1,66,4,0.04166666666666667,2,1,0,1.0,1,0,0,1,0,0,0,1,2
1,3.0,99,0,1,0,6,0,1,1,1,1,2,0,1,0,2,0,4.0,1,1,96,1,0.0125,1,1,0,4.0,1,0,0,0,1,1,0,1,4
1,1.0,100,78,2,0,6,0,1,0,1,1,1,0,4,0,12,0,2.0,1,1,148,1,0.004166666666666667,1,1,0,2.0,1,1,1,0,0,1,0,1,3
0,5.0,8,107,1,4,6,0,1,1,0,0,1,0,1,0,2,0,11.0,1,1,47,3,0.020833333333333336,1,1,0,11.0,1,1,0,0,0,0,0,1,3
0,72.0,58,0,0,1,4,5,2,2,0,0,1,0,1,0,2,0,4.0,1,1,105,3,0.45,2,1,0,4.0,1,0,0,0,0,0,0,1,2
1,11.0,100,0,2,2,6,0,1,1,1,1,1,0,3,0,12,0,3.0,0,1,11,1,0.04583333333333334,1,1,0,3.0,1,0,1,0,0,0,0,1,4
1,6.0,100,0,2,4,5,5,1,1,1,0,1,0,2,0,12,0,5.0,1,1,179,2,0.025,1,1,0,5.0,1,0,1,0,0,0,0,1,1
1,0.0,100,0,1,0,1,1,0,0,1,1,1,0,1,0,2,0,3.0,0,1,26,1,0.0,1,1,0,3.0,1,0,0,0,0,1,0,1,4
1,6.0,85,0,2,3,6,0,1,0,1,1,1,0,5,0,7,0,3.0,1,1,126,1,0.025,1,1,0,3.0,1,0,1,0,0,0,0,1,1
1,3.0,100,0,1,3,6,0,0,0,0,0,1,0,1,0,2,0,6.0,1,1,24,3,0.00625,1,1,0,6.0,1,0,0,0,0,1,0,1,2
1,3.0,129,97,0,1,5,5,0,0,1,0,1,0,1,0,2,0,5.0,1,1,21,2,0.00625,1,1,0,5.0,1,1,0,0,0,1,0,1,2
0,4.0,136,0,0,0,6,0,1,0,0,0,1,0,1,0,2,0,1.0,1,1,57,3,0.016666666666666666,1,1,0,1.0,1,0,0,0,0,1,0,1,4
0,3.0,136,0,0,4,0,0,1,0,0,0,1,0,1,0,2,0,1.0,1,1,51,3,0.0125,1,1,0,1.0,1,0,0,0,0,1,0,1,1
0,2.0,136,0,1,0,1,0,1,1,0,0,1,0,1,0,2,0,7.0,1,1,22,3,0.008333333333333333,1,1,0,7.0,1,0,0,0,0,1,0,1,3
0,2.0,136,0,1,1,0,0,1,0,1,1,1,0,2,0,2,0,2.0,1,1,43,1,0.008333333333333333,1,1,0,2.0,1,0,1,0,0,1,0,1,2
1,33.0,100,0,1,1,0,0,1,0,0,0,0,0,1,80,12,0,5.0,1,1,54,4,0.1375,2,1,0,5.0,0,0,0,1,0,0,0,1,4
0,24.0,136,0,0,2,4,0,1,0,0,0,0,0,1,80,2,3,20.0,1,1,314,4,0.1,2,1,1,26.0,0,0,0,1,0,0,0,1,4
0,1.0,136,0,1,0,1,0,1,1,1,1,1,0,1,0,3,0,1.0,1,1,22,1,0.004166666666666667,1,1,0,1.0,1,0,0,0,0,1,0,1,2
0,6.0,136,0,1,1,0,0,2,0,0,0,1,0,1,0,12,0,5.0,1,1,108,3,0.037500000000000006,1,1,0,5.0,1,0,0,0,0,0,0,1,4
0,2.0,136,0,2,0,3,5,1,0,1,1,1,0,6,0,12,0,6.0,0,1,15,1,0.008333333333333333,1,1,0,6.0,1,0,1,0,0,1,0,1,2
0,12.0,136,0,0,1,2,3,1,0,1,1,1,0,1,0,2,0,5.0,1,1,6,1,0.05,1,1,0,5.0,1,0,0,0,0,0,0,1,4
0,1.0,136,0,2,0,1,5,1,0,1,1,1,0,4,0,2,0,8.0,1,1,23,1,0.004166666666666667,1,1,0,8.0,1,0,1,0,0,1,0,1,1
0,24.0,136,116,0,4,0,0,1,1,2,2,1,0,1,0,2,0,5.0,1,1,2,1,0.1,2,1,0,5.0,1,1,0,0,2,0,0,1,3
0,4.0,136,0,1,1,0,0,2,2,0,0,1,0,1,0,12,0,6.0,1,1,185,3,0.025,1,1,0,6.0,1,0,0,0,0,1,0,1,3
1,10.0,100,0,1,1,4,0,1,0,1,1,0,0,1,0,2,0,9.0,1,1,122,2,0.04166666666666667,1,1,0,9.0,1,0,0,0,0,0,0,1,3
1,2.0,100,0,0,0,5,5,0,0,1,0,1,0,1,0,2,0,4.0,1,1,9,2,0.004166666666666667,1,1,0,4.0,1,0,0,0,0,1,0,1,1
1,4.0,100,78,1,5,6,0,0,0,1,1,1,0,1,0,2,0,3.0,1,1,20,1,0.008333333333333333,1,1,0,3.0,1,1,0,0,0,0,0,1,1
1,3.0,100,0,1,0,0,0,1,0,1,0,1,0,1,0,12,0,4.0,1,1,5,2,0.0125,1,1,0,4.0,1,0,0,0,0,1,0,1,2
1,4.0,100,77,0,0,0,0,1,0,2,2,1,0,1,0,2,0,5.0,1,1,82,1,0.016666666666666666,1,1,0,5.0,1,1,0,0,2,0,0,1,3
1,1.0,115,0,0,0,5,5,1,0,1,1,1,0,4,0,2,0,8.0,1,1,43,1,0.004166666666666667,1,1,0,8.0,1,0,1,0,0,1,0,1,2
1,2.0,100,0,2,0,5,0,1,0,1,0,1,0,4,0,12,0,3.0,1,1,54,2,0.008333333333333333,1,1,0,3.0,1,0,1,0,0,1,0,1,3
0,2.0,65,107,0,0,1,0,1,0,2,2,1,0,1,0,2,0,4.0,1,1,17,1,0.008333333333333333,1,1,0,4.0,1,1,0,0,2,1,0,1,2
0,24.0,136,0,1,0,1,0,1,1,0,0,0,0,1,0,12,0,2.0,1,1,91,4,0.1,2,1,0,2.0,1,0,0,1,0,0,0,1,4
1,3.0,100,0,0,0,6,0,1,0,0,1,1,0,1,0,2,0,0.0,1,1,5,2,0.0125,1,0,0,0.0,1,0,0,0,0,1,0,1,4
1,12.0,100,0,1,0,5,5,1,0,1,1,1,0,1,0,12,0,12.0,1,1,839,1,0.05,1,1,0,12.0,1,0,0,0,0,0,0,1,2
1,3.0,129,0,0,0,1,2,1,0,1,1,1,0,1,0,2,0,4.0,0,1,57,1,0.0125,1,1,0,4.0,1,0,0,0,0,1,0,1,4
1,4.0,99,0,0,6,0,0,2,1,1,0,1,0,1,0,12,0,5.0,1,1,291,2,0.025,1,1,0,5.0,1,0,0,0,0,0,0,1,2
1,24.0,100,0,1,0,4,0,1,0,1,0,0,0,1,50,12,0,2.0,1,1,31,3,0.1,2,1,0,2.0,0,0,0,0,0,0,0,1,3
1,3.0,99,0,1,0,6,0,1,1,1,1,1,0,2,0,12,0,8.0,1,1,197,1,0.0125,1,1,0,8.0,1,0,1,0,0,1,0,1,1
1,3.0,100,0,2,0,1,5,1,0,1,1,1,0,4,0,2,0,3.0,1,1,34,1,0.0125,1,1,0,3.0,1,0,1,0,0,1,0,1,3
1,1.0,100,0,1,0,1,0,1,0,1,1,1,0,1,0,12,0,1.0,1,1,20,1,0.004166666666666667,1,1,0,1.0,1,0,0,0,0,1,0,1,2
0,3.0,136,0,1,1,0,0,1,0,0,0,1,0,1,0,2,0,1.0,1,1,6,3,0.0125,1,1,0,1.0,1,0,0,0,0,1,0,1,3
1,3.0,99,0,2,1,0,0,1,1,1,0,1,0,2,0,2,0,2.0,1,1,46,2,0.0125,1,1,0,2.0,1,0,1,0,0,1,0,1,4
0,1.0,136,107,2,1,6,0,1,1,1,0,1,0,4,0,2,0,5.0,1,1,19,2,0.004166666666666667,1,1,0,5.0,1,1,1,0,0,1,0,1,4
0,24.0,136,120,0,1,6,0,0,1,0,1,0,0,1,0,2,0,7.0,1,1,60,3,0.05,2,1,0,7.0,1,1,0,0,0,0,0,1,2
0,1.0,136,51,0,0,1,5,1,1,1,1,1,0,1,0,2,0,4.0,1,1,52,1,0.004166666666666667,1,1,0,4.0,1,1,0,0,0,1,0,1,2
0,60.0,21,107,0,0,1,0,1,1,1,1,1,0,1,0,1,0,4.0,1,1,22,1,0.25,2,1,0,4.0,1,1,0,0,0,0,0,1,4
1,14.0,129,0,1,0,1,4,1,0,1,1,1,0,2,0,4,0,3.0,1,1,46,1,0.05833333333333334,2,1,0,3.0,1,0,1,0,0,0,0,1,4
